"ROUTE","TAXON","SOURCE_URL","AUTHOR","LICENSE","ATTRIBUTION_REQUIRED","TAXON_CONFIDENCE","USAGE_ALLOWED","LOCAL_TARGET","STATUS"
"/plantes/pilea","Pilea peperomioides","https://commons.wikimedia.org/wiki/File:Pilea_peperomioides_Chinese_money_plant.jpg","Husky","CC0 1.0","NO","HIGH","YES","/pilea-peperomioides-plante.jpg","INTEGRATED_FROM_EXISTING_CONTROLLED_ASSET"
"/plantes/peperomia","Peperomia argyraea","https://commons.wikimedia.org/wiki/File:Watermelon_Peperomia_(Peperomia_argyreia).jpg","Mokkie","CC BY-SA 4.0","YES","HIGH","YES","/peperomia-argyreia-feuillage.jpg","INTEGRATED_FROM_EXISTING_CONTROLLED_ASSET"
"/plantes/cactus","Cactaceae collection","https://unsplash.com/photos/a-variety-of-cactus-plants-in-a-greenhouse-Ip9vn5h-aSE","Anita Austvika","Unsplash License","NO","FAMILY_LEVEL_ONLY","YES","/cactus-collection-serre.jpg","INTEGRATED_FROM_EXISTING_CONTROLLED_ASSET"
"/plantes/epipremnum","Epipremnum aureum","https://commons.wikimedia.org/wiki/File:Epipremnum_aureum_(Golden_pothos).jpg","Filo gèn’","CC BY-SA 4.0","YES","HIGH","YES","/epipremnum-aureum-pothos.jpg","INTEGRATED_FROM_EXISTING_CONTROLLED_ASSET"
"/plantes/monstera/esqueleto","SEE_ROUTE","OWNER_PHOTOGRAPHY_REQUIRED","Owner/Tibaldo à confirmer","OWNER_RIGHTS_CONFIRMATION_REQUIRED","OWNER_DECISION","REQUIRES_LABEL_AND_SPECIMEN","NOT_YET","TO_DEFINE","DO_NOT_DEPLOY — Sujet identifié et étiqueté ‘Esqueleto’, feuille adulte entière sans personne ni décor ambigu"
"/plantes/maranta/lemon-lime","SEE_ROUTE","OWNER_PHOTOGRAPHY_REQUIRED","Owner/Tibaldo à confirmer","OWNER_RIGHTS_CONFIRMATION_REQUIRED","OWNER_DECISION","REQUIRES_LABEL_AND_SPECIMEN","NOT_YET","TO_DEFINE","DO_NOT_DEPLOY — Sujet ‘Lemon Lime’ étiqueté, vue d’ensemble et détail des nervures vertes"
"/plantes/alocasia/melo","SEE_ROUTE","OWNER_PHOTOGRAPHY_REQUIRED","Owner/Tibaldo à confirmer","OWNER_RIGHTS_CONFIRMATION_REQUIRED","OWNER_DECISION","REQUIRES_LABEL_AND_SPECIMEN","NOT_YET","TO_DEFINE","DO_NOT_DEPLOY — Portrait net + détail de texture du limbe"
"/plantes/anthurium/luxurians","SEE_ROUTE","OWNER_PHOTOGRAPHY_REQUIRED","Owner/Tibaldo à confirmer","OWNER_RIGHTS_CONFIRMATION_REQUIRED","OWNER_DECISION","REQUIRES_LABEL_AND_SPECIMEN","NOT_YET","TO_DEFINE","DO_NOT_DEPLOY — Portrait + détail du gaufrage foliaire"
"/plantes/anthurium/warocqueanum","SEE_ROUTE","OWNER_PHOTOGRAPHY_REQUIRED","Owner/Tibaldo à confirmer","OWNER_RIGHTS_CONFIRMATION_REQUIRED","OWNER_DECISION","REQUIRES_LABEL_AND_SPECIMEN","NOT_YET","TO_DEFINE","DO_NOT_DEPLOY — Feuille entière avec base et apex + vue du port"
"/plantes/monstera/thai-constellation","SEE_ROUTE","OWNER_PHOTOGRAPHY_REQUIRED","Owner/Tibaldo à confirmer","OWNER_RIGHTS_CONFIRMATION_REQUIRED","OWNER_DECISION","REQUIRES_LABEL_AND_SPECIMEN","NOT_YET","TO_DEFINE","DO_NOT_DEPLOY — Feuille mature entière + détail stable de panachure"
